scenario,method,num_cases,RMSE_nm,MAE_nm,P95_nm,P99_nm
reference_clean,BaselineCNN,120,0.00427267,0.00377090,0.00664318,0.00689563
reference_clean,TailAwareBest,120,0.00354310,0.00334168,0.00489148,0.00518103
neighbor_shift,BaselineCNN,120,0.00403168,0.00335511,0.00738162,0.00809672
neighbor_shift,TailAwareBest,120,0.00369817,0.00302047,0.00673959,0.00921613
linewidth_asymmetry,BaselineCNN,120,0.00639333,0.00510196,0.01259431,0.01481050
linewidth_asymmetry,TailAwareBest,120,0.00819127,0.00639801,0.01696902,0.01953185
system_artifact,BaselineCNN,120,0.00416179,0.00348376,0.00749325,0.00921525
system_artifact,TailAwareBest,120,0.00389476,0.00319712,0.00736888,0.00792899
combined_hard,BaselineCNN,120,0.00826030,0.00663618,0.01528916,0.01970837
combined_hard,TailAwareBest,120,0.01096256,0.00851336,0.02057841,0.02746341